#
#
# US Geological Survey
# retrieved: 2018-04-04 18:42:47 -04:00	(vaas01)
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://waterservices.usgs.gov/rest/Site-Service.html
#
# Contact:   gs-w_support_nwisweb@usgs.gov
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  site_tp_cd      -- Site type
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  alt_va          -- Altitude of Gage/land surface
#  alt_acy_va      -- Altitude accuracy
#  alt_datum_cd    -- Altitude datum
#  huc_cd          -- Hydrologic unit code
#
agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	huc_cd
USGS	272804098582001	YZ-84-33-101	GW	27.46836079	-98.9719692	S	NAD83	 857	  5	NGVD29	12110206
USGS	272804098582002	YZ-84-33-102	GW	27.46777778	-98.9722222	S	NAD83	 857	  5	NAVD88	12110206
USGS	272813099093901	YZ-85-39-301	GW	27.4705777	-99.1611417	S	NAD83	 555	  5	NGVD29	13080003
USGS	272902099251601	YZ-85-37-205	GW	27.4841856	-99.4214281	S	NAD83	 535	  5	NGVD29	13080002
USGS	272905098482201	YZ-84-34-201	GW	27.4847222	-98.8061111	S	NAD83	 793	  5	NGVD29	12110205
USGS	272911099242601	YZ-85-37-301	GW	27.48638889	-99.4072222	S	NAD83	 500	  2	NGVD29	13080002
USGS	272926099252501	YZ-85-37-207	GW	27.49055556	-99.4236111	S	NAD83	 528	  5	NGVD29	13080002
USGS	272942099262001	YZ-85-37-206	GW	27.49529636	-99.4392065	S	NAD83	 498	  2	NGVD29	13080002
USGS	273012099285701	YZ-85-29-710	GW	27.50333333	-99.4825	S	NAD83	 445	  5	NGVD29	13080002
USGS	273141099285501	YZ-85-29-705	GW	27.52835088	-99.4822633	S	NAD83	 478	  3	NGVD29	13080002
USGS	273145099285401	YZ-85-29-706	GW	27.52946196	-99.4819855	S	NAD83	 480	  2	NGVD29	13080002
USGS	273145099285402	YZ-85-29-704	GW	27.52946196	-99.4819855	S	NAD83	 480	  2	NGVD29	13080002
USGS	273154099284801	YZ-85-29-709	GW	27.53196189	-99.4803188	S	NAD83	 467	  5	NGVD29	13080002
USGS	273316099101701	YZ-85-31-501	GW	27.55444444	-99.1713889	S	NAD83	 545	  5	NGVD29	13080003
USGS	273331099291701	YZ-85-29-401	GW	27.5589055	-99.4883744	S	NAD83	 500	  5	NGVD29	13080002
USGS	273410099265601	YZ-85-29-502	GW	27.56944444	-99.4488889	S	NAD83	 496	  2	NGVD29	13080002
USGS	273455099175901	YZ-85-30-501	GW	27.58223916	-99.3000343	S	NAD83	 705	  5	NGVD29	13080002
USGS	273521099274101	YZ-85-29-102	GW	27.5894603	-99.4617065	S	NAD83	 535	  5	NGVD29	13080002
USGS	273533099260401	YZ-85-29-204	GW	27.5927937	-99.4347611	S	NAD83	 540	  5	NGVD29	13080002
USGS	273649099132501	YZ-85-31-102	GW	27.6136111	-99.2236111	S	NAD83	 615	  5	NGVD29	12110105
USGS	273704099132801	YZ-85-31-103	GW	27.61777778	-99.2244444	S	NAD83	 615	  5	NGVD29	12110105
USGS	273708098495201	YZ-84-26-201	GW	27.61888889	-98.8311111	S	NAD83	 847	  5	NAVD88	12110205
USGS	273712099135801	YZ-85-31-104	GW	27.62	-99.2327778	S	NAD83	 605	  5	NGVD29	12110105
USGS	273903099374501	YZ-85-19-903	GW	27.6511247	-99.6294892	S	NAD83	 430	  5	NGVD29	13080002
USGS	273930098500101	YZ-84-18-701	GW	27.65863645	-98.8339094	S	NAD83	 695	  5	NGVD29	12110105
USGS	274010099343201	YZ-85-20-501	GW	27.66944444	-99.5755556	S	NAD83	 575	  5	NGVD29	13080003
USGS	274012099343101	YZ-85-20-502	GW	27.6702909	-99.5755985	S	NAD83	 582	  5	NGVD29	13080002
USGS	274013099155701	YZ-85-22-601	GW	27.67027778	-99.2658333	S	NAD83	 585	  5	NGVD29	12110105
USGS	274018099330901	YZ-85-20-503	GW	27.67166667	-99.5525	S	NAD83	 581	  1	NGVD29	13080002
USGS	274056099321901	YZ-85-20-602	GW	27.6822222	-99.5386111	S	NAD83	 564	  1	NGVD29	13080002
USGS	274115099271301	YZ-85-21-501	GW	27.68779094	-99.4539277	S	NAD83	 665	  5	NGVD29	13080002
USGS	274122099261301	YZ-85-21-502	GW	27.68973549	-99.4372605	S	NAD83	 616	  5	NGVD29	13080002
USGS	274127099302101	YZ-85-20-601	GW	27.69083333	-99.5058333	S	NAD83	 565	  5	NGVD29	13080002
USGS	274222099291001	YZ-85-21-401	GW	27.7061111	-99.4861111	S	NAD83	 666	  1	NGVD29	13080002
USGS	274319099213401	YZ-85-22-101	GW	27.72194444	-99.3594444	S	NAD83	 625	  1	NGVD29	12110105
USGS	274412099180801	YZ-85-22-202	GW	27.73666667	-99.3022222	S	NAD83	 570	  5	NGVD29	12110105
USGS	274530099124501	YZ-85-15-702	GW	27.75833333	-99.2125	S	NAD83	 524	  5	NGVD29	12110105
USGS	274607099263001	YZ-85-13-803	GW	27.7686111	-99.4416667	S	NAD83	 669	  3	NGVD29	12110105
USGS	274611099264001	YZ-85-13-804	GW	27.7697222	-99.4444444	S	NAD83	 665	  5	NGVD29	12110105
USGS	274633099265401	YZ-85-13-801	GW	27.77612205	-99.4486492	S	NAD83	 680	  2	NGVD29	12110105
USGS	274704099151001	YZ-85-14-901	GW	27.78444444	-99.2527778	S	NAD83	 543	  5	NGVD29	12110105
USGS	274731099252401	YZ-85-13-502	GW	27.79194444	-99.4233333	S	NAD83	 626	  2	NGVD29	12110105
USGS	274759099273201	YZ-85-13-501	GW	27.8000103	-99.459205	S	NAD83	 720	  5	NGVD29	12110105
USGS	274808099221301	YZ-85-14-401	GW	27.80251135	-99.3705909	S	NAD83	 610	  1	NGVD29	12110105
USGS	274828099190601	YZ-85-14-501	GW	27.80806743	-99.3186446	S	NAD83	 563	  1	NGVD29	12110105
USGS	274922099141801	YZ-85-15-401	GW	27.82277778	-99.2383333	S	NAD83	 518	  5	NGVD29	12110105
USGS	275004099175101	YZ-85-14-201	GW	27.83444444	-99.2975	S	NAD83	 502	  1	NGVD29	12110105
USGS	275101099224901	YZ-85-13-305	GW	27.85027778	-99.3802778	S	NAD83	 587	  1	NGVD29	12110105
USGS	275110099240701	YZ-85-13-306	GW	27.85277778	-99.4019444	S	NAD83	 595	  2	NGVD29	12110105
USGS	275125099155601	YZ-85-14-302	GW	27.85723374	-99.2658649	S	NAD83	 462	  5	NGVD29	12110105
USGS	275150099184101	YZ-85-14-202	GW	27.86388889	-99.3113889	S	NAD83	 505	  5	NGVD29	12110105
USGS	275153099204801	YZ-85-14-102	GW	27.8647222	-99.3466667	S	NAD83	 522	  5	NGVD29	12110105
USGS	275153099301801	YZ-85-12-302	GW	27.8647222	-99.505	S	NAD83	 730	  3	NGVD29	13080002
USGS	275156099132701	YZ-85-15-102	GW	27.86555556	-99.2241667	S	NAD83	 482	  5	NGVD29	12110105
USGS	275157099301801	YZ-85-12-301	GW	27.86611953	-99.5053175	S	NAD83	 730	  3	NGVD29	13080002
USGS	275158099221601	YZ-85-14-101	GW	27.8661111	-99.3711111	S	NAD83	 548	  1	NGVD29	12110105
USGS	275223099235301	YZ-85-13-301	GW	27.87334287	-99.3983693	S	NAD83	 603	  2	NGVD29	12110105
USGS	275228099115201	YZ-85-15-201	GW	27.87444444	-99.1977778	S	NAD83	 509	  1	NGVD29	12110105
USGS	275233099235101	YZ-85-05-907	GW	27.87583333	-99.3975	S	NAD83	 598	  2	NGVD29	12110105
USGS	275233099240201	YZ-85-05-908	GW	27.87583333	-99.4005556	S	NAD83	 601	  1	NGVD29	12110105
USGS	275237099233601	YZ-85-05-906	GW	27.87694444	-99.3933333	S	NAD83	 598	  2	NGVD29	12110105
USGS	275250099245301	YZ-85-05-904	GW	27.88055556	-99.4147222	S	NAD83	 683	  1	NGVD29	12110105
USGS	275303099235201	YZ-85-05-905	GW	27.88416667	-99.3977778	S	NAD83	 641	  2	NGVD29	12110105
USGS	275305099194201	YZ-85-06-802	GW	27.88501016	-99.3286447	S	NAD83	 547	  5	NGVD29	12110105
USGS	275355099381701	YZ-85-03-905	GW	27.89889623	-99.6383778	S	NAD83	 595	  5	NGVD29	13080002
USGS	275359099203501	YZ-85-06-701	GW	27.8997222	-99.3430556	S	NAD83	 524	  5	NGVD29	12110105
USGS	275418099234901	YZ-85-05-903	GW	27.905	-99.3969444	S	NAD83	 585	  2	NGVD29	12110105
USGS	275431099313001	YZ-85-04-906	GW	27.9086111	-99.525	S	NAD83	 685	  5	NGVD29	13080002
USGS	275441099313301	YZ-85-04-905	GW	27.91138889	-99.5258333	S	NAD83	 705	  2	NGVD29	13080002
USGS	275501099294901	YZ-85-05-401	GW	27.91694444	-99.4969444	S	NAD83	 718	  2	NGVD29	13080002
USGS	275505099331001	YZ-85-04-503	GW	27.91805556	-99.5527778	S	NAD83	 655	  5	NGVD29	13080002
USGS	275507099331301	YZ-85-04-504	GW	27.9186111	-99.5536111	S	NAD83	 655	  5	NGVD29	13080002
USGS	275508099302901	YZ-85-04-604	GW	27.91888889	-99.5080556	S	NAD83	 720	 10	NGVD29	13080002
USGS	275508099364801	YZ-85-04-402	GW	27.9191736	-99.6136547	S	NAD83	 622	  5	NGVD29	13080002
USGS	275548099201001	YZ-85-06-401	GW	27.93	-99.3361111	S	NAD83	 560	  1	NGVD29	12110105
USGS	275625099185201	YZ-85-06-502	GW	27.94027778	-99.3144444	S	NAD83	 530	  1	NGVD29	12110105
USGS	275625099240101	YZ-85-05-602	GW	27.94027778	-99.4002778	S	NAD83	 582	  2	NGVD29	12110105
USGS	275631099271401	YZ-85-13-802	GW	27.94194444	-99.4538889	S	NAD83	 695	  3	NGVD29	12110105
USGS	275631099372001	YZ-85-04-401	GW	27.9422286	-99.6225439	S	NAD83	 622	  2	NGVD29	13080002
USGS	275634099223501	YZ-85-05-603	GW	27.94277778	-99.3763889	S	NAD83	 541	  1	NGVD29	12110105
USGS	275634099241801	YZ-85-05-601	GW	27.94277778	-99.405	S	NAD83	 610	  5	NGVD29	12110105
USGS	275634099304601	YZ-85-04-602	GW	27.94277778	-99.5127778	S	NAD83	 775	  5	NGVD29	13080002
USGS	275641099303301	YZ-85-04-603	GW	27.9447222	-99.5091667	S	NAD83	 770	  5	NGVD29	13080002
USGS	275717099190201	YZ-85-06-501	GW	27.9547222	-99.3172222	S	NAD83	 531	  1	NGVD29	12110105
USGS	275812099535801	YZ-85-01-301	GW	27.97028154	-99.8997758	S	NAD83	 690	  5	NGVD29	13080002
USGS	280029099214601	YZ-77-62-711	GW	28.00834038	-99.3630899	S	NAD83	 533	  2	NGVD29	12110105
USGS	280034099220101	YZ-77-62-710	GW	28.00972916	-99.3672567	S	NAD83	 552	  5	NGVD29	12110105
USGS	280107099225301	YZ-77-61-906	GW	28.0188953	-99.3817017	S	NAD83	 573	  2	NGVD29	12110105
USGS	280135099322901	YZ-77-60-901	GW	28.02667115	-99.5417074	S	NAD83	 835	  5	NGVD29	13080002
USGS	280135099322902	YZ-77-60-902	GW	28.02667115	-99.5417074	S	NAD83	 835	  5	NGVD29	13080002
USGS	280149099225501	YZ-77-61-903	GW	28.0305615	-99.3822573	S	NAD83	 600	  2	NGVD29	12110105
USGS	280152099240901	YZ-77-61-902	GW	28.03139458	-99.4028136	S	NAD83	 606	  5	NGVD29	12110105
USGS	280224099240901	YZ-77-61-904	GW	28.04028314	-99.4028136	S	NAD83	 612	  5	NGVD29	12110105
USGS	280224099240902	YZ-77-61-905	GW	28.04028314	-99.4028136	S	NAD83	 612	  2	NGVD29	12110105
USGS	280318099400501	YZ-77-59-501	GW	28.0552806	-99.6683792	S	NAD83	 714	  5	NGVD29	13080002
USGS	281147099553201	YZ-77-49-501	GW	28.19666265	-99.9258888	S	NAD83	 862	  5	NGVD29	13080002
USGS	281546099234601	HZ-77-45-9xx	GW	28.26277778	-99.3961111	S	NAD83	 560	  5	NAVD88	12110105
USGS	281621100040401	HZ-76-48-802	GW	28.27277024	-100.0681161	R	NAD83	 688	 10	NGVD29	13080002
USGS	282108097384501	AW-79-43-321	GW	28.3525013	-97.6461072	S	NAD83	 170.82	0.1	NGVD29	12100407
USGS	282108097384701	AW-79-43-322	GW	28.3525013	-97.6466628	S	NAD83	 171.25	0.1	NGVD29	12100407
USGS	282108097394701	AW-79-43-328	GW	28.35250117	-97.6633297	S	NAD83	 169.72	0.1	NGVD29	12100407
USGS	282109097394501	AW-79-43-329	GW	28.35277895	-97.6627742	S	NAD83	 170.15	0.1	NGVD29	12100407
USGS	282109097394901	AW-79-43-327	GW	28.35277894	-97.6638853	S	NAD83	 170.14	0.1	NGVD29	12100407
USGS	282110097384901	AW-79-43-319	GW	28.35305684	-97.6472184	S	NAD83	 170.22	0.1	NGVD29	12100407
USGS	282111097384301	AW-79-43-318	GW	28.3533346	-97.6455517	S	NAD83	 167.28	0.1	NGVD29	12100407
USGS	282111097394701	AW-79-43-311	GW	28.35333447	-97.6633297	S	NAD83	 171.37	0.1	NGVD29	12100407
USGS	282111097394702	AW-79-43-325	GW	28.35333447	-97.6633297	S	NAD83	 170.72	0.1	NGVD29	12100407
USGS	282112097394701	AW-79-43-326	GW	28.35361224	-97.6633297	S	NAD83	 170.96	0.1	NGVD29	12100407
USGS	282114097384701	AW-79-43-320	GW	28.3541679	-97.6466628	S	NAD83	 167.69	0.1	NGVD29	12100407
USGS	282116097384301	AW-79-43-312	GW	28.35472346	-97.6455517	S	NAD83	 169.37	0.1	NGVD29	12100407
USGS	282117097384301	AW-79-43-310	GW	28.3550012	-97.6455517	S	NAD83	 170.48	0.1	NGVD29	12100407
USGS	282117097384401	AW-79-43-323	GW	28.3550012	-97.6458295	S	NAD83	 170.19	0.1	NGVD29	12100407
USGS	282120097381101	AW-79-43-331	GW	28.3558346	-97.6366626	S	NAD83	 161	2.5	NGVD29	12100407
USGS	282122097383501	AW-79-43-314	GW	28.35639008	-97.6433294	S	NAD83	 166.24	0.1	NGVD29	12100407
USGS	282123097385001	AW-79-43-313	GW	28.3566678	-97.6474961	S	NAD83	 168.98	0.1	NGVD29	12100407
USGS	282132097401601	AW-79-43-204	GW	28.3591675	-97.6713854	S	NAD83	 174.88	0.1	NGVD29	12100407
USGS	282133097400801	AW-79-43-206	GW	28.35944529	-97.6691632	S	NAD83	 174.30	0.1	NGVD29	12100407
USGS	282133097402801	AW-79-43-208	GW	28.35944525	-97.6747188	S	NAD83	 185	2.5	NGVD29	12100407
USGS	282138097400801	AW-79-43-205	GW	28.36083413	-97.6691632	S	NAD83	 174.59	0.1	NGVD29	12100407
USGS	282141097400901	AW-79-43-202	GW	28.3616674	-97.6694409	S	NAD83	 175.49	0.1	NGVD29	12100407
USGS	282147097380101	AW-79-43-332	GW	28.36333433	-97.6338848	S	NAD83	 156	2.5	NGVD29	12100407
USGS	282150097401901	AW-79-43-203	GW	28.3641673	-97.6722188	S	NAD83	 178.23	0.1	NGVD29	12100407
USGS	282157097392901	AW-79-43-324	GW	28.36611179	-97.6583297	S	NAD83	 190.47	0.1	NGVD29	12100407
USGS	282158097392701	AW-79-43-315	GW	28.36638956	-97.657774	S	NAD83	 189.81	0.1	NGVD29	12100407
USGS	282159097393101	AW-79-43-316	GW	28.3666673	-97.6588852	S	NAD83	 189.27	0.1	NGVD29	12100407
USGS	282201097392701	AW-79-43-317	GW	28.36722286	-97.657774	S	NAD83	 187.47	0.1	NGVD29	12100407
USGS	282211097394001	AW-79-43-308	GW	28.3700005	-97.6613853	S	NAD83	 193.57	0.1	NGVD29	12100407
USGS	282221097394701	AW-79-43-309	GW	28.37277815	-97.6633297	S	NAD83	 192.48	0.1	NGVD29	12100407
USGS	282233097392801	AW-79-35-908	GW	28.3761114	-97.6580519	S	NAD83	 188.94	0.1	NGVD29	12100407
USGS	282246097405101	AW-79-35-805	GW	28.37972217	-97.6811078	S	NAD83	 177	005	NGVD29	12100407
USGS	282247097382701	AW-79-35-910	GW	28.38000028	-97.6411072	S	NAD83	 175	2.5	NGVD29	12100407
USGS	282313097441401	AW-79-35-706	GW	28.38722137	-97.7374976	S	NAD83	 220	2.5	NGVD29	12100407
USGS	282323097381201	AW-79-35-911	GW	28.3899999	-97.6369404	S	NAD83	 179	2.5	NGVD29	12100407
USGS	282357097441201	AW-79-35-702	GW	28.3994431	-97.736942	S	NAD83	 204	2.5	NGVD29	12100407
USGS	282404098062101	SJ-78-39-703	GW	28.40138605	-98.1061164	S	NAD83	 145	  5	NGVD29	12110111
USGS	282405097451401	AW-79-34-903	GW	28.4016651	-97.7541646	S	NAD83	 210	2.5	NGVD29	12100407
USGS	282417097450801	AW-79-34-902	GW	28.4049983	-97.7524979	S	NAD83	 213	 10	NGVD29	12100407
USGS	282417097450802	AW-79-34-901	GW	28.4049983	-97.7524979	S	NAD83	 213	2.5	NGVD29	12100407
USGS	282420097391701	AW-79-35-909	GW	28.40583248	-97.6549963	S	NAD83	 185	2.5	NGVD29	12100406
USGS	282457098103101	SJ-78-39-802	GW	28.4161071	-98.1755624	S	NAD83	 237.33	 .1	NGVD29	12110111
USGS	282514098114101	SJ-78-39-506	GW	28.42082898	-98.1950073	S	NAD83	 144.9	 .1	NGVD29	12110105
USGS	282535098095701	SJ-78-39-602	GW	28.42666225	-98.1661178	S	NAD83	 155.94	 .1	NGVD29	12110111
USGS	282540098104701	SJ-78-39-507	GW	28.42805097	-98.180007	S	NAD83	 140	  5	NGVD29	12110111
USGS	282540098104702	SJ-78-39-508	GW	28.42805097	-98.180007	S	NAD83	 139.73	 .1	NGVD29	12110111
USGS	282540098104703	SJ-78-39-509	GW	28.42805097	-98.180007	S	NAD83	 139.71	 .1	NGVD29	12110111
USGS	282546098064501	SJ-78-40-404	GW	28.42971806	-98.1127833	S	NAD83	 130	  5	NGVD29	12110111
USGS	282559098063201	SJ-78-40-405	GW	28.43332903	-98.109172	S	NAD83	 140	  5	NGVD29	12110111
USGS	282604098103001	SJ-78-39-522	GW	28.43471736	-98.1752847	S	NAD83	 139	  5	NGVD29	12110111
USGS	282633098101101	SJ-78-39-510	GW	28.44277258	-98.1700068	S	NAD83	 133.14	 .1	NGVD29	12110111
USGS	282647098105601	SJ-78-39-501	GW	28.44666119	-98.1825071	S	NAD83	 135.71	 .1	NGVD29	12110111
USGS	282657098064001	SJ-78-40-403	GW	28.4494394	-98.1113944	S	NAD83	 160	  5	NGVD29	12110111
USGS	282704098112601	SJ-78-39-521	GW	28.4513831	-98.1908406	S	NAD83	 143.97	 .1	NGVD29	12110111
USGS	282704098112901	SJ-78-39-503	GW	28.4513831	-98.191674	S	NAD83	 143.53	 .1	NGVD29	12110108
USGS	282705098113701	SJ-78-39-504	GW	28.45166086	-98.1938963	S	NAD83	 145.24	 .1	NGVD29	12110108
USGS	282707098114801	SJ-78-39-505	GW	28.45221637	-98.1969519	S	NAD83	 145.63	 .1	NGVD29	12110108
USGS	282709097421800	AW-79-35-501	GW	28.45527447	-97.7072194	S	NAD83	 255	2.5	NGVD29	12100407
USGS	282712098112301	SJ-78-39-520	GW	28.45360525	-98.1900073	S	NAD83	 145.92	 .1	NGVD29	12110111
USGS	282713098104301	SJ-78-39-502	GW	28.4538831	-98.1788959	S	NAD83	 142.99	 .1	NGVD29	12110111
USGS	282717098112201	SJ-78-39-519	GW	28.45499407	-98.1897295	S	NAD83	 145.63	 .1	NGVD29	12110111
USGS	282717098112601	SJ-78-39-518	GW	28.45499406	-98.1908406	S	NAD83	 145.2	 .1	NGVD29	12110111
USGS	282719098113801	SJ-78-39-511	GW	28.45554957	-98.194174	S	NAD83	 144.66	 .1	NGVD29	12110108
USGS	282722098113401	SJ-78-39-512	GW	28.45638287	-98.1930629	S	NAD83	 145.71	 .1	NGVD29	12110108
USGS	282723098113301	SJ-78-39-513	GW	28.45666064	-98.1927851	S	NAD83	 145.21	 .1	NGVD29	12110108
USGS	282726098112301	SJ-78-39-517	GW	28.45749395	-98.1900073	S	NAD83	 145.76	 .1	NGVD29	12110108
USGS	282726098112701	SJ-78-39-514	GW	28.45749394	-98.1911184	S	NAD83	 145.86	 .1	NGVD29	12110108
USGS	282727098112701	SJ-78-39-515	GW	28.4577717	-98.1911184	S	NAD83	 145.66	 .1	NGVD29	12110108
USGS	282728098112601	SJ-78-39-516	GW	28.45804948	-98.1908407	S	NAD83	 145.72	 .1	NGVD29	12110108
USGS	282730098095801	SJ-78-39-601	GW	28.4586052	-98.1663957	S	NAD83	 140.69	 .1	NGVD29	12110111
TX001	282739099525401	HZ-77-33-301	GW	28.46109795	-99.8819999	T	NAD83	 705	 10	NGVD29	12110103
USGS	282743098130701	SJ-78-39-109	GW	28.4622157	-98.2188969	S	NAD83	 164.27	 .1	NGVD29	12110108
USGS	282744098101101	SJ-78-39-204	GW	28.46249388	-98.1700069	S	NAD83	 134	  5	NGVD29	12110111
USGS	282750098101601	SJ-78-39-203	GW	28.46416046	-98.1713958	S	NAD83	 140	  5	NGVD29	12110111
USGS	282813097423201	AW-79-35-107	GW	28.4705516	-97.7091639	S	NAD83	 278	2.5	NGVD29	12100407
USGS	282816097425501	AW-79-35-106	GW	28.47138486	-97.7155529	S	NAD83	 290	2.5	NGVD29	12100407
USGS	282821098121801	SJ-78-39-202	GW	28.47277088	-98.2052855	S	NAD83	 151.93	 .1	NGVD29	12110108
USGS	282839098125501	SJ-78-39-107	GW	28.47777056	-98.2155635	S	NAD83	 152.66	 .1	NGVD29	12110108
USGS	282857098124201	SJ-78-39-103	GW	28.48277035	-98.2119523	S	NAD83	 152.44	 .1	NGVD29	12110108
USGS	282859098124301	SJ-78-39-104	GW	28.48332587	-98.21223	S	NAD83	 144.44	 .1	NGVD29	12110108
USGS	282903098140001	SJ-78-39-108	GW	28.48443675	-98.2336195	S	NAD83	 159.96	 .1	NGVD29	12110108
USGS	282907098121801	SJ-78-39-201	GW	28.48554805	-98.2052855	S	NAD83	 152.82	 .1	NGVD29	12110108
USGS	282917098132301	SJ-78-39-105	GW	28.48832554	-98.2233415	S	NAD83	 169.21	 .1	NGVD29	12110108
USGS	282919098131701	SJ-78-39-106	GW	28.48888108	-98.2216748	S	NAD83	 191.26	 .1	NGVD29	12110108
USGS	282957098130101	SJ-78-39-101	GW	28.49943617	-98.2172302	S	NAD83	 169	  5	NGVD29	12110108
USGS	282958098125401	SJ-78-39-102	GW	28.49971395	-98.2152857	S	NAD83	 160	  5	NGVD29	12110108
USGS	283417099512901	HZ-77-26-431	GW	28.5716497	-99.8583886	R	NAD83	 594	  5	NAVD88	12110104
USGS	283556097365801	KP-79-28-102	GW	28.5991583	-97.6163852	S	NAD83	 304	005	NGVD29	12100406
USGS	283619097365701	KP-79-28-101	GW	28.60554694	-97.6161074	S	NAD83	 298	  5	NGVD29	12100406
USGS	283646097365201	KP-79-28-106	GW	28.61304664	-97.6147186	S	NAD83	 296.58	001	NGVD29	12100406
USGS	283647097364701	KP-79-28-107	GW	28.6133244	-97.6133297	S	NAD83	 289.16	001	NGVD29	12100406
USGS	283647097365001	KP-79-28-104	GW	28.6133244	-97.614163	S	NAD83	 297.24	  1	NGVD29	12100406
USGS	283647097365002	KP-79-28-105	GW	28.6133244	-97.614163	S	NAD83	 293.63	001	NGVD29	12100406
USGS	283650097365701	KP-79-28-103	GW	28.61415769	-97.6161075	S	NAD83	 299.66	  1	NGVD29	12100406
USGS	283853097290701	KP-79-21-706 (Goliad 2 - Deep)	GW	28.64805556	-97.4852778	R	NAD83	 141	  5	NGVD29	12100303
USGS	283939097293201	KP-79-21-705 (Goliad 1)	GW	28.66083333	-97.4922222	R	NAD83	 152	  5	NGVD29	12100303
USGS	284749097503201	PZ-79-10-403	GW	28.79702778	-97.8422083	5	NAD83	 441	  5	NAVD88	12100303
USGS	284801097081601	YT-79-15-604	GW	28.80027778	-97.1377778	S	NAD83	 121	  5	NAVD88	12100204
USGS	285038097255402	KP-79-13-224	GW	28.84388889	-97.4316667	S	NAD83	 299	 10	NAVD88	12100204
